"Tanggal Jadwal","Tanggal Jumlah Populasi","Jumlah Generasi","Crossover Rate","Mutation Rate","Waktu Proses","Nilai Fitness 3","Nilai Fitness 2","Nilai Fitness 1","Nilai Fitness 0","Nilai Fitness -1","Nilai Fitness Kosong"
"15 January 2022 13:54:00","500","50","0.01","0.6","1.06896","9","172","55","0","4","163"
"15 January 2022 13:54:26","500","100","0.01","0.6","1.26689","12","169","52","0","42","128"
"15 January 2022 13:56:17","500","500","0.01","0.6","2.73696","8","174","52","0","48","121"
"15 January 2022 13:57:02","500","1000","0.01","0.6","4.74146","6","182","63","0","0","152"
"15 January 2022 13:58:23","500","5000","0.01","0.6","19.87054","8","174","57","0","0","164"
"15 January 2022 13:59:21","1000","50","0.01","0.6","1.8346","17","219","72","0","45","50"
"15 January 2022 13:59:48","1000","100","0.01","0.6","2.114","28","219","63","0","0","93"
"15 January 2022 14:01:14","1000","500","0.01","0.6","3.66001","18","222","65","0","0","98"
"15 January 2022 14:02:06","1000","1000","0.01","0.6","5.69348","14","219","68","0","0","102"
"15 January 2022 14:03:06","1000","5000","0.01","0.6","21.61729","15","226","69","0","0","93"
"15 January 2022 14:04:20","5000","50","0.01","0.6","8.30921","65","230","43","0","65","0"
"15 January 2022 14:05:04","5000","100","0.01","0.6","8.46885","65","226","47","0","65","0"
"15 January 2022 14:05:52","5000","500","0.01","0.6","10.90058","64","225","49","0","0","65"
"15 January 2022 14:07:28","5000","1000","0.01","0.6","14.33952","61","226","51","0","0","65"
"15 January 2022 14:09:06","5000","5000","0.01","0.6","41.10486","74","223","41","0","0","65"
"15 January 2022 14:11:59","10000","50","0.01","0.6","16.27991","95","207","36","0","65","0"
"15 January 2022 14:12:45","10000","100","0.01","0.6","16.49428","94","209","35","0","65","0"
"15 January 2022 14:13:43","10000","500","0.01","0.6","19.34257","91","209","38","0","65","0"
"15 January 2022 14:14:36","10000","1000","0.01","0.6","24.34935","96","207","35","0","0","65"
"15 January 2022 14:16:06","10000","5000","0.01","0.6","44.42965","100","205","33","0","65","0"
"16 January 2022 14:48:30","500","50","0.01","0.6","1.06029","11","167","59","0","51","115"
"16 January 2022 14:48:44","500","100","0.01","0.6","1.21317","9","170","59","0","0","165"
"16 January 2022 14:49:09","500","500","0.01","0.6","2.66271","6","170","56","0","0","171"
"16 January 2022 14:49:52","500","1000","0.01","0.6","4.64612","15","183","52","0","0","153"
"16 January 2022 14:50:56","500","5000","0.01","0.6","19.38662","8","168","56","0","0","171"
"16 January 2022 14:51:27","1000","50","0.01","0.6","1.80809","21","221","70","0","43","48"
"16 January 2022 14:51:44","1000","100","0.01","0.6","2.00498","21","227","64","0","0","91"
"16 January 2022 14:52:10","1000","500","0.01","0.6","3.53465","17","216","74","0","0","96"
"16 January 2022 14:52:41","1000","1000","0.01","0.6","5.20623","18","224","65","0","58","38"
"16 January 2022 14:53:23","1000","5000","0.01","0.6","19.897","22","225","70","0","54","32"
"16 January 2022 14:54:08","5000","50","0.01","0.6","7.81527","75","218","45","0","65","0"
"16 January 2022 14:54:46","5000","100","0.01","0.6","8.03246","62","230","46","0","65","0"
"16 January 2022 14:55:25","5000","500","0.01","0.6","10.17643","69","221","48","0","0","65"
"16 January 2022 14:56:06","5000","1000","0.01","0.6","13.13913","67","226","45","0","0","65"
"16 January 2022 14:57:25","5000","5000","0.01","0.6","37.1607","75","218","45","0","0","65"
"16 January 2022 14:58:09","10000","50","0.01","0.6","15.2003","88","211","39","0","65","0"
"16 January 2022 14:58:40","10000","100","0.01","0.6","15.55223","100","204","34","0","65","0"
"16 January 2022 14:59:33","10000","500","0.01","0.6","17.63324","93","210","35","0","65","0"
"16 January 2022 15:00:14","10000","1000","0.01","0.6","22.74377","92","209","37","0","0","65"
"16 January 2022 15:01:43","10000","5000","0.01","0.6","61.24853","98","211","29","0","0","65"
"16 January 2022 15:03:16","500","50","0.01","0.6","1.05668","8","175","59","0","0","161"
"16 January 2022 15:03:31","500","100","0.01","0.6","1.21923","10","170","61","0","0","162"
"16 January 2022 15:04:01","500","500","0.01","0.6","2.60342","8","164","61","0","47","123"
"16 January 2022 15:04:28","500","1000","0.01","0.6","4.39734","10","179","57","0","0","157"
"16 January 2022 15:05:12","500","5000","0.01","0.6","19.31911","9","174","57","0","0","163"
"16 January 2022 15:05:44","1000","50","0.01","0.6","1.84423","19","232","68","0","49","35"
"16 January 2022 15:05:59","1000","100","0.01","0.6","1.98587","20","226","64","0","0","93"
"16 January 2022 15:06:37","1000","500","0.01","0.6","3.55082","21","226","67","0","0","89"
"16 January 2022 15:07:03","1000","1000","0.01","0.6","5.50598","21","228","64","0","0","90"
"16 January 2022 15:07:51","1000","5000","0.01","0.6","21.07587","17","227","70","0","0","89"
"16 January 2022 15:08:46","5000","50","0.01","0.6","7.96544","60","229","49","0","65","0"
"16 January 2022 15:11:15","5000","100","0.01","0.6","8.06887","59","228","51","0","65","0"
"16 January 2022 15:11:48","5000","500","0.01","0.6","10.24051","63","225","50","0","0","65"
"16 January 2022 15:12:26","5000","1000","0.01","0.6","13.32899","58","229","51","0","0","65"
"16 January 2022 15:15:41","5000","5000","0.01","0.6","37.67181","78","219","41","0","0","65"
"16 January 2022 15:16:22","10000","50","0.01","0.6","15.67123","92","211","35","0","65","0"
"16 January 2022 15:17:05","10000","100","0.01","0.6","16.06795","94","210","34","0","65","0"
"16 January 2022 15:17:56","10000","500","0.01","0.6","18.84328","90","214","34","0","65","0"
"16 January 2022 15:19:08","10000","1000","0.01","0.6","23.29092","92","213","33","0","0","65"
"16 January 2022 15:20:37","10000","5000","0.01","0.6","64.19791","97","206","35","0","0","65"
"16 January 2022 15:45:11","500","5000","0.01","0.6","18.5716","8","178","55","0","0","162"
